Group: consumption-group-2 | Topic: consumption_events
Waiting for messages... (Ctrl+C to stop)
------------------------------------------------------------
[GROUP-2] key=7 | partition=0 | offset=0 | meals=10 | calories=2983
[GROUP-2] key=9 | partition=0 | offset=1 | meals=6 | calories=2246
[GROUP-2] key=10 | partition=0 | offset=2 | meals=11 | calories=2262
[GROUP-2] key=11 | partition=0 | offset=3 | meals=5 | calories=1835
[GROUP-2] key=12 | partition=0 | offset=4 | meals=3 | calories=3359
[GROUP-2] key=14 | partition=0 | offset=5 | meals=13 | calories=1855
[GROUP-2] key=16 | partition=0 | offset=6 | meals=3 | calories=2261
[GROUP-2] key=18 | partition=0 | offset=7 | meals=9 | calories=2968
[GROUP-2] key=20 | partition=0 | offset=8 | meals=6 | calories=2459
[GROUP-2] key=25 | partition=0 | offset=9 | meals=6 | calories=2140
[GROUP-2] key=27 | partition=0 | offset=10 | meals=12 | calories=2062
[GROUP-2] key=28 | partition=0 | offset=11 | meals=5 | calories=2035
[GROUP-2] key=38 | partition=0 | offset=12 | meals=10 | calories=3306
[GROUP-2] key=46 | partition=0 | offset=13 | meals=14 | calories=1618
[GROUP-2] key=47 | partition=0 | offset=14 | meals=7 | calories=1622
[GROUP-2] key=48 | partition=0 | offset=15 | meals=0 | calories=2012
[GROUP-2] key=49 | partition=0 | offset=16 | meals=11 | calories=2653
[GROUP-2] key=50 | partition=0 | offset=17 | meals=10 | calories=3430
[GROUP-2] key=51 | partition=0 | offset=18 | meals=7 | calories=1707
[GROUP-2] key=53 | partition=0 | offset=19 | meals=13 | calories=2904
[GROUP-2] key=57 | partition=0 | offset=20 | meals=2 | calories=1735
[GROUP-2] key=58 | partition=0 | offset=21 | meals=14 | calories=1961
[GROUP-2] key=60 | partition=0 | offset=22 | meals=4 | calories=3279
[GROUP-2] key=63 | partition=0 | offset=23 | meals=9 | calories=3499
[GROUP-2] key=64 | partition=0 | offset=24 | meals=13 | calories=2884
[GROUP-2] key=65 | partition=0 | offset=25 | meals=11 | calories=2114
[GROUP-2] key=72 | partition=0 | offset=26 | meals=8 | calories=3489
[GROUP-2] key=75 | partition=0 | offset=27 | meals=8 | calories=2633
[GROUP-2] key=77 | partition=0 | offset=28 | meals=12 | calories=1901
[GROUP-2] key=78 | partition=0 | offset=29 | meals=14 | calories=1830
[GROUP-2] key=80 | partition=0 | offset=30 | meals=10 | calories=2522
[GROUP-2] key=82 | partition=0 | offset=31 | meals=1 | calories=2536
[GROUP-2] key=85 | partition=0 | offset=32 | meals=13 | calories=3016
[GROUP-2] key=86 | partition=0 | offset=33 | meals=3 | calories=2099
[GROUP-2] key=89 | partition=0 | offset=34 | meals=5 | calories=1833
[GROUP-2] key=90 | partition=0 | offset=35 | meals=1 | calories=2201
[GROUP-2] key=91 | partition=0 | offset=36 | meals=1 | calories=1913
[GROUP-2] key=94 | partition=0 | offset=37 | meals=6 | calories=1808
[GROUP-2] key=95 | partition=0 | offset=38 | meals=2 | calories=2637
[GROUP-2] key=97 | partition=0 | offset=39 | meals=10 | calories=3041
[GROUP-2] key=98 | partition=0 | offset=40 | meals=0 | calories=3060
[GROUP-2] key=99 | partition=0 | offset=41 | meals=7 | calories=3000
[GROUP-2] key=100 | partition=0 | offset=42 | meals=13 | calories=2643
[GROUP-2] key=102 | partition=0 | offset=43 | meals=6 | calories=3378
[GROUP-2] key=103 | partition=0 | offset=44 | meals=8 | calories=3358
[GROUP-2] key=104 | partition=0 | offset=45 | meals=4 | calories=2614
[GROUP-2] key=106 | partition=0 | offset=46 | meals=0 | calories=3447
[GROUP-2] key=114 | partition=0 | offset=47 | meals=12 | calories=2643
[GROUP-2] key=118 | partition=0 | offset=48 | meals=0 | calories=2777
