Group: demographics-group-1 | Topic: demographics_events
Sink: ../sink/demographics_sink.csv
Waiting for messages... (Ctrl+C to stop)
------------------------------------------------------------
[MSG] key=7 | partition=0 | offset=0 | age=40 | gender=Male | rows_written=1
[MSG] key=9 | partition=0 | offset=1 | age=28 | gender=Male | rows_written=2
[MSG] key=10 | partition=0 | offset=2 | age=41 | gender=Male | rows_written=3
[MSG] key=11 | partition=0 | offset=3 | age=53 | gender=Male | rows_written=4
[MSG] key=12 | partition=0 | offset=4 | age=57 | gender=Male | rows_written=5
[MSG] key=14 | partition=0 | offset=5 | age=20 | gender=Male | rows_written=6
[MSG] key=16 | partition=0 | offset=6 | age=19 | gender=Male | rows_written=7
[MSG] key=18 | partition=0 | offset=7 | age=47 | gender=Female | rows_written=8
[MSG] key=20 | partition=0 | offset=8 | age=19 | gender=Female | rows_written=9
[MSG] key=25 | partition=0 | offset=9 | age=42 | gender=Female | rows_written=10
[MSG] key=27 | partition=0 | offset=10 | age=59 | gender=Male | rows_written=11
[MSG] key=28 | partition=0 | offset=11 | age=45 | gender=Male | rows_written=12
[MSG] key=38 | partition=0 | offset=12 | age=21 | gender=Male | rows_written=13
[MSG] key=46 | partition=0 | offset=13 | age=24 | gender=Male | rows_written=14
[MSG] key=47 | partition=0 | offset=14 | age=25 | gender=Other | rows_written=15
[MSG] key=48 | partition=0 | offset=15 | age=52 | gender=Male | rows_written=16
[MSG] key=49 | partition=0 | offset=16 | age=31 | gender=Male | rows_written=17
[MSG] key=50 | partition=0 | offset=17 | age=34 | gender=Other | rows_written=18
[MSG] key=51 | partition=0 | offset=18 | age=53 | gender=Female | rows_written=19
[MSG] key=53 | partition=0 | offset=19 | age=21 | gender=Male | rows_written=20
[MSG] key=57 | partition=0 | offset=20 | age=21 | gender=Female | rows_written=21
[MSG] key=58 | partition=0 | offset=21 | age=46 | gender=Female | rows_written=22
[MSG] key=60 | partition=0 | offset=22 | age=43 | gender=Female | rows_written=23
[MSG] key=63 | partition=0 | offset=23 | age=53 | gender=Male | rows_written=24
[MSG] key=64 | partition=0 | offset=24 | age=31 | gender=Female | rows_written=25
[MSG] key=65 | partition=0 | offset=25 | age=48 | gender=Male | rows_written=26
[MSG] key=72 | partition=0 | offset=26 | age=33 | gender=Female | rows_written=27
[MSG] key=75 | partition=0 | offset=27 | age=43 | gender=Male | rows_written=28
[MSG] key=77 | partition=0 | offset=28 | age=58 | gender=Other | rows_written=29
[MSG] key=78 | partition=0 | offset=29 | age=46 | gender=Male | rows_written=30
[MSG] key=80 | partition=0 | offset=30 | age=18 | gender=Male | rows_written=31
[MSG] key=82 | partition=0 | offset=31 | age=24 | gender=Female | rows_written=32
[MSG] key=85 | partition=0 | offset=32 | age=18 | gender=Male | rows_written=33
[MSG] key=86 | partition=0 | offset=33 | age=25 | gender=Male | rows_written=34
[MSG] key=89 | partition=0 | offset=34 | age=34 | gender=Other | rows_written=35
[MSG] key=90 | partition=0 | offset=35 | age=25 | gender=Male | rows_written=36
[MSG] key=91 | partition=0 | offset=36 | age=52 | gender=Female | rows_written=37
[MSG] key=94 | partition=0 | offset=37 | age=22 | gender=Male | rows_written=38
[MSG] key=95 | partition=0 | offset=38 | age=59 | gender=Female | rows_written=39
[MSG] key=97 | partition=0 | offset=39 | age=58 | gender=Female | rows_written=40
[MSG] key=98 | partition=0 | offset=40 | age=45 | gender=Male | rows_written=41
[MSG] key=99 | partition=0 | offset=41 | age=24 | gender=Female | rows_written=42
