Group: demographics-group-2 | Topic: demographics_events
Waiting for messages... (Ctrl+C to stop)
------------------------------------------------------------
[GROUP-2] key=2 | partition=1 | offset=0 | age=32 | gender=Female
[GROUP-2] key=3 | partition=1 | offset=1 | age=25 | gender=Female
[GROUP-2] key=4 | partition=1 | offset=2 | age=38 | gender=Female
[GROUP-2] key=5 | partition=1 | offset=3 | age=56 | gender=Female
[GROUP-2] key=6 | partition=1 | offset=4 | age=36 | gender=Male
[GROUP-2] key=15 | partition=1 | offset=5 | age=39 | gender=Male
[GROUP-2] key=19 | partition=1 | offset=6 | age=55 | gender=Female
[GROUP-2] key=21 | partition=1 | offset=7 | age=38 | gender=Female
[GROUP-2] key=23 | partition=1 | offset=8 | age=29 | gender=Female
[GROUP-2] key=26 | partition=1 | offset=9 | age=44 | gender=Male
[GROUP-2] key=30 | partition=1 | offset=10 | age=32 | gender=Female
[GROUP-2] key=31 | partition=1 | offset=11 | age=20 | gender=Female
[GROUP-2] key=32 | partition=1 | offset=12 | age=54 | gender=Male
[GROUP-2] key=35 | partition=1 | offset=13 | age=26 | gender=Male
[GROUP-2] key=36 | partition=1 | offset=14 | age=56 | gender=Male
[GROUP-2] key=37 | partition=1 | offset=15 | age=35 | gender=Male
[GROUP-2] key=39 | partition=1 | offset=16 | age=42 | gender=Male
[GROUP-2] key=43 | partition=1 | offset=17 | age=19 | gender=Female
[GROUP-2] key=45 | partition=1 | offset=18 | age=45 | gender=Female
[GROUP-2] key=52 | partition=1 | offset=19 | age=57 | gender=Female
[GROUP-2] key=54 | partition=1 | offset=20 | age=19 | gender=Male
[GROUP-2] key=56 | partition=1 | offset=21 | age=59 | gender=Female
[GROUP-2] key=61 | partition=1 | offset=22 | age=51 | gender=Male
[GROUP-2] key=62 | partition=1 | offset=23 | age=27 | gender=Male
[GROUP-2] key=66 | partition=1 | offset=24 | age=32 | gender=Male
[GROUP-2] key=67 | partition=1 | offset=25 | age=25 | gender=Female
[GROUP-2] key=68 | partition=1 | offset=26 | age=31 | gender=Male
[GROUP-2] key=69 | partition=1 | offset=27 | age=40 | gender=Female
[GROUP-2] key=70 | partition=1 | offset=28 | age=57 | gender=Male
[GROUP-2] key=71 | partition=1 | offset=29 | age=38 | gender=Female
[GROUP-2] key=73 | partition=1 | offset=30 | age=35 | gender=Male
[GROUP-2] key=84 | partition=1 | offset=31 | age=41 | gender=Male
[GROUP-2] key=87 | partition=1 | offset=32 | age=41 | gender=Female
[GROUP-2] key=88 | partition=1 | offset=33 | age=28 | gender=Female
[GROUP-2] key=92 | partition=1 | offset=34 | age=52 | gender=Female
[GROUP-2] key=93 | partition=1 | offset=35 | age=50 | gender=Male
[GROUP-2] key=96 | partition=1 | offset=36 | age=56 | gender=Female
[GROUP-2] key=107 | partition=1 | offset=37 | age=54 | gender=Female
[GROUP-2] key=108 | partition=1 | offset=38 | age=52 | gender=Male
[GROUP-2] key=109 | partition=1 | offset=39 | age=57 | gender=Female
[GROUP-2] key=112 | partition=1 | offset=40 | age=52 | gender=Male
[GROUP-2] key=115 | partition=1 | offset=41 | age=54 | gender=Female
[GROUP-2] key=116 | partition=1 | offset=42 | age=31 | gender=Male
[GROUP-2] key=117 | partition=1 | offset=43 | age=20 | gender=Female
[GROUP-2] key=119 | partition=1 | offset=44 | age=22 | gender=Female
[GROUP-2] key=123 | partition=1 | offset=45 | age=44 | gender=Female
[GROUP-2] key=126 | partition=1 | offset=46 | age=32 | gender=Male
[GROUP-2] key=127 | partition=1 | offset=47 | age=43 | gender=Female
[GROUP-2] key=130 | partition=1 | offset=48 | age=49 | gender=Female
[GROUP-2] key=133 | partition=1 | offset=49 | age=21 | gender=Male
[GROUP-2] key=138 | partition=1 | offset=50 | age=32 | gender=Female
[GROUP-2] key=141 | partition=1 | offset=51 | age=30 | gender=Female
[GROUP-2] key=142 | partition=1 | offset=52 | age=49 | gender=Male
[GROUP-2] key=143 | partition=1 | offset=53 | age=24 | gender=Female
[GROUP-2] key=147 | partition=1 | offset=54 | age=59 | gender=Male
[GROUP-2] key=148 | partition=1 | offset=55 | age=23 | gender=Male
[GROUP-2] key=150 | partition=1 | offset=56 | age=45 | gender=Female
[GROUP-2] key=151 | partition=1 | offset=57 | age=37 | gender=Female
[GROUP-2] key=159 | partition=1 | offset=58 | age=44 | gender=Male
[GROUP-2] key=160 | partition=1 | offset=59 | age=30 | gender=Male
[GROUP-2] key=161 | partition=1 | offset=60 | age=58 | gender=Female
[GROUP-2] key=163 | partition=1 | offset=61 | age=56 | gender=Female
[GROUP-2] key=164 | partition=1 | offset=62 | age=23 | gender=Female
[GROUP-2] key=167 | partition=1 | offset=63 | age=26 | gender=Female
[GROUP-2] key=169 | partition=1 | offset=64 | age=50 | gender=Female
[GROUP-2] key=173 | partition=1 | offset=65 | age=49 | gender=Male
[GROUP-2] key=180 | partition=1 | offset=66 | age=20 | gender=Male
[GROUP-2] key=183 | partition=1 | offset=67 | age=19 | gender=Female
[GROUP-2] key=184 | partition=1 | offset=68 | age=19 | gender=Male
[GROUP-2] key=187 | partition=1 | offset=69 | age=54 | gender=Female
[GROUP-2] key=191 | partition=1 | offset=70 | age=36 | gender=Male
[GROUP-2] key=192 | partition=1 | offset=71 | age=19 | gender=Female
[GROUP-2] key=194 | partition=1 | offset=72 | age=49 | gender=Male
[GROUP-2] key=196 | partition=1 | offset=73 | age=49 | gender=Female
[GROUP-2] key=199 | partition=1 | offset=74 | age=34 | gender=Male
[GROUP-2] key=200 | partition=1 | offset=75 | age=55 | gender=Female
[GROUP-2] key=207 | partition=1 | offset=76 | age=33 | gender=Male
[GROUP-2] key=211 | partition=1 | offset=77 | age=33 | gender=Female
[GROUP-2] key=215 | partition=1 | offset=78 | age=53 | gender=Other
[GROUP-2] key=218 | partition=1 | offset=79 | age=20 | gender=Male
